GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100730,0090635213,TRINITY MEDICAL CENTER,800 MONTCLAIR ROAD,BIRMINGHAM,AL,35213,JEFFERSON,USA
G0100730,0001335233,VA MEDICAL CENTER - BIRMINGHAM,700 S 19TH ST S,BIRMINGHAM,AL,35233,JEFFERSON,USA
G0100730,0008935205,ST. VINCENT'S BIRMINGHAM,810 ST. VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,USA
G0100730,0000635233,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233,JEFFERSON,USA
G0100730,0011935233,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,USA
G0100730,0000735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE, SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,USA
G0100730,0000335211,BAPTIST MEDICAL CENTER - PRINCETON,701 PRINCETON AVENUE, S.W.,BIRMINGHAM,AL,35211,JEFFERSON,USA
G0100550,0008035904,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY,GADSDEN,AL,35904,ETOWAH,USA
G0100550,0010335999,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35999,ETOWAH,USA
G0100550,0005935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,USA
G0100550,0004935903,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,USA
G0100710,0006135768,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,USA
G0200660,0060399588,CROSS ROAD MEDICAL CENTER,187 GLENN HWY, PO BOX 5,GLENNALLEN,AK,99588,VALDEZ-CORDOVA,USA
G0100910,0091836732,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 U.S. HIGHWAY 80, EAST,DEMOPOLIS,AL,36732,MARENGO,USA
G0101030,0009735609,NORTH ALABAMA REGIONAL HOSPITAL,4218 HWY 31 S,DECATUR,AL,35609,MORGAN,USA
G0101030,0001035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD, S.W.,DECATUR,AL,35601,MORGAN,USA
G0101030,0001135601,DECATUR MORGAN WEST,2205 BELTLINE ROAD, S.W.,DECATUR,AL,35601,MORGAN,USA
G0101030,0003935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET, SOUTHEAST,DECATUR,AL,35601,MORGAN,USA
G0101210,0003035161,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,USA
G0101210,0003435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,TALLADEGA,USA
G0101170,0009235261,NOLAND HOSPITAL BIRMINGHAM,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35261,SHELBY,USA
G0101170,0010735007,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET, NORTH,ALABASTER,AL,35007,SHELBY,USA
G0101170,0091535007,NOLAND HOSPITAL SHELBY, LLC,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,USA
G0100790,0008835650,LAWRENCE MEDICAL CENTER,202 HOSPITAL ST,MOULTON,AL,35650,LAWRENCE,USA
G0100970,0011136608,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,USA
G0100970,0013636652,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CENTER,MOBILE,AL,36652,MOBILE,USA
G0100970,0003136607,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,USA
G0100970,0090736604,UNIVERSITY OF SOUTH ALABAMA CHILDREN'S AND WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,USA
G0100970,0009836617,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,USA
G0100970,0010136685,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36685,MOBILE,USA
G0100970,0000436693,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,MOBILE,USA
G0100770,0004435631,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,USA
G0101090,0011736081,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231,TROY,AL,36081,PIKE,USA
G0101150,0011635125,ST. VINCENT'S ST.CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,USA
G0101290,0012236518,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,USA
G0200900,0000000022,BASSETT ARMY COMMUNITY HOSPITAL,4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,USA
G0200900,0001299701,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,USA
G0200900,0060099702,EIELSON MEDICAL CLINIC,2630 CENTRAL AVENUE, SUITE 1M07,EIELSON AFB,AK,99702,FAIRBANKS NORTH STAR,USA
G0100890,0008435801,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DRIVE,HUNTSVILLE,AL,35801,MADISON,USA
G0100890,0000000130,HUNTSVILLE HOSPITAL WOMEN & CHILDREN-ER,245 GOVERNORS DR SE,HUNTSVILLE,AL,35801,MADISON,USA
G0100890,0090235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE,HUNTSVILLE,AL,35801,MADISON,USA
G0100890,0007135758,MADISON HOSPITAL,8375 HIGHWAY 72 WEST,MADISON,AL,35758,MADISON,USA
G0100890,0001935806,BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC.,5315 MILLENNIUM DRIVE,HUNTSVILLE,AL,35806,MADISON,USA
G0100890,0000000133,FOX ARMY HEALTH CENTER: LAMBERT RHONDA W,4100 GOSS RD SW,HUNTSVILLE,AL,35890,MADISON,USA
G0100890,0006335801,HUNTSVILLE HOSPITAL, THE,101 SIVLEY ROAD,HUNTSVILLE,AL,35801,MADISON,USA
G0101330,0007035565,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195,HALEYVILLE,AL,35565,WINSTON,USA
G0100870,0001636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL RD,TUSKEGEE,AL,36083,MACON,USA
G0200200,0000999506,ELMENDORF AFB HOSPITAL,5955 ZEAMER AVE.,ANCHORAGE,AK,99506,ANCHORAGE,USA
G0200200,0001099504,ALASKA VA HEALTHCARE SYSTEM,1201 N MULDOON RD,ANCHORAGE,AK,99504,ANCHORAGE,USA
G0200200,0000899508,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,USA
G0200200,0000299508,NORTH STAR HOSPITAL - DEBARR CAMPUS,2530 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,USA
G0200200,0004699508,NORTH STAR HOSPITAL - BRAGAW CAMPUS,1650 BRAGAW STREET,ANCHORAGE,AK,99508,ANCHORAGE,USA
G0200200,0001099508,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,USA
G0200200,0000199508,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,ANCHORAGE,AK,99508,ANCHORAGE,USA
G0200200,0000799508,ALASKA NATIVE MEDICAL CENTER - ANMC,4315 DIPLOMACY DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,USA
G0200200,0004799503,ST. ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET,ANCHORAGE,AK,99503,ANCHORAGE,USA
G0100990,0007836461,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,MONROE,USA
G0101310,0006436726,J. PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,USA
G0101010,0001436109,CAVHCS WEST CAMPUS,215 PERRY HILL RD,MONTGOMERY,AL,36109,MONTGOMERY,USA
G0101010,0000236124,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36124,MONTGOMERY,USA
G0101010,0176936109,CAVHCS EAST CAMPUS,8105 VETERANS WAY,MONTGOMERY,AL,36109,MONGOMERY,USA
G0101010,0001736111,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36111,MONTGOMERY,USA
G0101010,0091036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,MONTGOMERY,AL,36116,MONTGOMERY,USA
G0101010,0002336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,MONTGOMERY,USA
G0101010,0006636106,JACKSON HOSPITAL AND CLINIC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,USA
G0101010,0091436106,NOLAND HOSPITAL MONTGOMERY, LLC,1725 PINE STREET, 5TH FLOOR, NORTH WING,MONTGOMERY,AL,36106,MONTGOMERY,USA
G0100530,0003836427,D. W. MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36427,ESCAMBIA,USA
G0100530,0000136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR.,ATMORE,AL,36502,ESCAMBIA,USA
G0201800,0002399762,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVE,NOME,AK,99762,NOME,USA
G0100690,0001636302,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,USA
G0100690,0004236301,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD ROAD,DOTHAN,AL,36301,HOUSTON,USA
G0100690,0002236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL,1736 EAST MAIN STREET,DOTHAN,AL,36301,HOUSTON,USA
G0100690,0011036301,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,USA
G0100690,0091336302,NOLAND HOSPITAL DOTHAN, LLC,1108 ROSS CLARK CIRCLE, 4TH FLOOR,DOTHAN,AL,36302,HOUSTON,USA
G0201880,0002299752,MANIILAQ MEDICAL CENTER,436 5TH AVE.,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,USA
G0101270,0012035502,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78, EAST,JASPER,AL,35502,WALKER,USA
G0201100,0001799801,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DRIVE,JUNEAU,AK,99801,JUNEAU,USA
G0200160,0060699546,ADAK MEDICAL CENTER - EAT,100 MECHANIC ROAD,ADAK,AK,99546,ALEUTIANS WEST,USA
G0100650,0005736744,HALE COUNTY HOSPITAL,508 GREENE STREET,GREENSBORO,AL,36744,HALE,USA
G0100950,0007335976,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,MARSHALL,USA
G0100950,0009135957,MARSHALL MEDICAL CENTER SOUTH,2505 U.S. HIGHWAY 431, SOUTH,BOAZ,AL,35957,MARSHALL,USA
G0100630,0005235462,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,USA
G0101130,0006536867,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,USA
G0101130,0008336867,REGIONAL REHABILITATION HOSPITAL,3715 HIGHWAY 280,PHENIX CITY,AL,36867,RUSSELL,USA
G0100030,0008636535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,USA
G0100030,0011536532,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,USA
G0100030,0004336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,BALDWIN,USA
G0100030,0009436507,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,USA
G0201700,0002499645,MAT-SU REGIONAL MEDICAL CENTER,2500 S. WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA-SUSITNA,USA
G0200700,0001199576,KANAKANAK HOSPITAL,6000 KANAKANAK ROAD,DILLINGHAM,AK,99576,DILLINGHAM,USA
G0200500,0002099559,YUKON - KUSKOKWIM DELTA REGIONAL HOSPITAL,700 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,AK,99559,BETHEL,USA
G0201950,0002599833,PETERSBURG MEDICAL CENTER,103 FRAM ST.,PETERSBURG,AK,99833,WRANGELL-PETERSBURG,USA
G0400030,0065185607,DOUGLAS COMMUNITY HOSPITAL, INC,2174 WEST OAK AVENUE,DOUGLAS,AZ,85607,COCHISE,USA
G0400030,0003085603,COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVE,BISBEE,AZ,85603,COCHISE,USA
G0400030,0069485613,US ARMY HOSPITAL-FT HUACHUCA,2240 E WINROW AVE,FORT HUACHUCA,AZ,85613,COCHISE,USA
G0400030,0002085602,BENSON HOSPITAL,450 S. OCOTILLO,BENSON,AZ,85602,COCHISE,USA
G0400030,0007985635,SIERRA VISTA REGIONAL HEALTH CENTER,185 S MOORMAN AVE,SIERRA VISTA,AZ,85635,COCHISE,USA
G0400030,0067585635,RCHP-SIERRA VISTA, INC.,300 EL CAMINO REAL,SIERRA VISTA,AZ,85635,COCHISE,USA
G0400030,0016085635,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,USA
G0400030,0006185643,NORTHERN COCHISE COMMUNITY HOSPITAL, INC.,901 W REX ALLEN DRIVE,WILLCOX,AZ,85643,COCHISE,USA
G0400030,0192185607,COPPER QUEEN DOUGLAS EMERGENCY DEPARTMENT,100 E. 5TH STREET,DOUGLAS,AZ,85607,COCHISE,USA
G0400010,0009985938,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 S. MOUNTAIN AVE.,SPRINGERVILLE,AZ,85938,APACHE,USA
G0400010,0003586503,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,OFF HIGHWAY 191, PHS/IHS DR,CHINLE,AZ,86503,APACHE,USA
G0400010,0069386505,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191, PO BOX 457,GANADO,AZ,86505,APACHE,USA
G0400010,0173186504,FORT DEFIANCE INDIAN HOSPITAL,HWY 12 & BONITO DR, BLDG. FD 3002,FORT DEFIANCE,AZ,86504,APACHE,USA
G0201220,0000399603,SOUTH PENINSULA HOSPITAL,4300 BARTLETT STREET,HOMER,AK,99603,KENAI PENINSULA,USA
G0201220,0000699669,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,USA
G0201220,0000599664,PROVIDENCE SEWARD MEDICAL CENTER,417 1ST AVENUE,SEWARD,AK,99664,KENAI PENINSULA,USA
G0400090,0006085546,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 20TH AVE,SAFFORD,AZ,85546,GRAHAM,USA
G0400090,0177585542,SAN CARLOS APACHE HEALTHCARE CORPORATION,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,USA
G0201300,0000499901,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,USA
G0400170,0065085929,CHANGEPOINT PSYCHIATRIC HOSPITAL,1920 WEST COMMERCE DRIVE,LAKESIDE,AZ,85929,NAVAJO,USA
G0400170,0008585901,SUMMIT HEALTHCARE ASSOCIATION,2200 E SHOW LOW LAKE RD,SHOW LOW,AZ,85901,NAVAJO,USA
G0400170,0004985941,WHITERIVER INDIAN HOSPITAL,HWY 73 MILE POST 342,WHITERIVER,AZ,85941,NAVAJO,USA
G0400170,0005286047,LITTLE COLORADO MEDICAL CENTER,1501 N WILLIAMSON AVE,WINSLOW,AZ,86047,NAVAJO,USA
G0400170,0069686047,US PHS WINSLOW INDIAN HOSPITAL,500 INDIANA AVE,WINSLOW,AZ,86047,NAVAJO,USA
G0400170,0003486042,HOPI HEALTH CARE CENTER/DHHS IHS PHOENIX AREA,HWY 264, MILE MARKER 388,POLACCA,AZ,86042,NAVAJO,USA
G0400190,0004585634,SELLS HOSPITAL,HWY 86 & TOPAWA RD,SELLS,AZ,85634,PIMA,USA
G0400190,0006485755,ORO VALLEY HOSPITAL,1551 E TANGERINE ROAD,ORO VALLEY,AZ,85755,PIMA,USA
G0400190,0069585707,US AIR FORCE HOSPITAL-TUCSON,DAVIS-MONTHAN AFB,TUCSON,AZ,85707,PIMA,USA
G0400190,0009085712,TMC HEALTHCARE,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,USA
G0400190,0016385712,TMC HEALTHCARE CENTER FOR GEROPSYCH,2221 NORTH ROSEMONT BOULEVARD, BLDG 3, SUITE 200,TUCSON,AZ,85712,PIMA,USA
G0400190,0004185712,ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSON,2650 NORTH WYATT,TUCSON,AZ,85712,PIMA,USA
G0400190,0066585712,PALO VERDE BEHAVIORAL HEALTH,2695 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712,PIMA,USA
G0400190,0066985711,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,PIMA,USA
G0400190,0003185710,CORNERSTONE SPECIALTY HOSPITAL TUCSON, LLC,7220 EAST ROSEWOOD DR,TUCSON,AZ,85710,PIMA,USA
G0400190,0004685711,CURAHEALTH HOSPITAL OF TUCSON,355 NORTH WILMOT,TUCSON,AZ,85711,PIMA,USA
G0400190,0000285723,SOUTHERN ARIZONA VA HEALTH CARE SYSTEM,3601 S 6TH AVE,TUCSON,AZ,85723,PIMA,USA
G0400190,0067785724,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,PIMA,USA
